Text Inputs : Specimen label,"G2NC_0.5"
Test : Rate 1,"15.77685",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"2.64100",mm
Dimension : Width,"13.37000",mm

Time,Extension,Load
(sec),(mm),(N)
"27.60000","-7.25703","1.82435"
"27.65000","-7.27062","1.82613"
"27.70000","-7.28344","1.80684"
"27.75000","-7.29672","1.86151"
"27.80000","-7.31016","1.84482"
"27.85000","-7.32297","1.80813"
"27.90000","-7.33641","1.81627"
"27.95000","-7.34938","1.81746"
"28.00000","-7.36250","1.83676"
"28.05000","-7.37594","1.83345"
"28.10000","-7.38859","1.82673"
"28.15000","-7.40203","1.84742"
"28.20000","-7.41500","1.88321"
"28.25000","-7.42813","1.87025"
"28.30000","-7.44156","1.88214"
"28.35000","-7.45453","1.87882"
"28.40000","-7.46781","1.83272"
"28.45000","-7.48109","1.85766"
"28.50000","-7.49375","1.85147"
"28.55000","-7.50719","1.85702"
"28.60000","-7.52031","1.84234"
"28.65000","-7.53328","1.86689"
"28.70000","-7.54672","1.83199"
"28.75000","-7.55953","1.84421"
"28.80000","-7.57281","1.84222"
"28.85000","-7.58609","1.83366"
"28.90000","-7.59906","1.83832"
"28.95000","-7.61266","1.85673"
"29.00000","-7.62547","1.85169"
"29.05000","-7.63859","1.84373"
"29.10000","-7.65188","1.85144"
"29.15000","-7.66484","1.84472"
"29.20000","-7.67813","1.83937"
"29.25000","-7.69141","1.87985"
"29.30000","-7.70422","1.83465"
"29.35000","-7.71750","1.85542"
"29.40000","-7.73047","1.86703"
"29.45000","-7.74359","1.86847"
"29.50000","-7.75719","1.84063"
"29.55000","-7.77000","1.87070"
"29.60000","-7.78328","1.85921"
"29.65000","-7.79641","1.84286"
"29.70000","-7.80937","1.86588"
"29.75000","-7.82297","1.85555"
"29.80000","-7.83578","1.84617"
"29.85000","-7.84891","1.84134"
"29.87000","-7.85438","1.84026"
