Text Inputs : Specimen label,"G2NE_DRY"
Test : Rate 1,"1.30000",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"3.48000",mm
Dimension : Width,"13.81000",mm

Time,Extension,Load
(sec),(mm),(N)
"23.35000","-0.50609","-19.60376"
"23.40000","-0.50719","-19.61576"
"23.45000","-0.50828","-19.67542"
"23.50000","-0.50938","-19.70126"
"23.55000","-0.51031","-19.76496"
"23.60000","-0.51156","-19.79591"
"23.65000","-0.51250","-19.84682"
"23.70000","-0.51359","-19.88351"
"23.75000","-0.51469","-19.91405"
"23.80000","-0.51578","-19.95879"
"23.85000","-0.51672","-19.98791"
"23.90000","-0.51766","-20.01505"
"23.95000","-0.51875","-20.07876"
"24.00000","-0.51984","-20.10268"
"24.05000","-0.52094","-20.20891"
"24.10000","-0.52203","-20.19248"
"24.15000","-0.52312","-20.26795"
"24.20000","-0.52422","-20.27855"
"24.25000","-0.52516","-20.36654"
"24.30000","-0.52641","-20.38054"
"24.35000","-0.52750","-20.42012"
"24.40000","-0.52875","-20.48919"
"24.45000","-0.52984","-20.51000"
"24.50000","-0.53078","-20.56638"
"24.55000","-0.53188","-20.63104"
"24.60000","-0.53297","-20.62318"
"24.65000","-0.53422","-20.67505"
"24.70000","-0.53531","-20.72562"
"24.75000","-0.53641","-20.75502"
"24.80000","-0.53750","-20.82984"
"24.85000","-0.53859","-20.88006"
"24.90000","-0.53969","-20.90080"
"24.95000","-0.54078","-20.97596"
"25.00000","-0.54188","-21.05145"
"25.05000","-0.54297","-21.07817"
"25.10000","-0.54406","-21.08276"
"25.15000","-0.54500","-21.15743"
"25.20000","-0.54609","-21.16253"
"25.25000","-0.54719","-21.22032"
"25.30000","-0.54828","-21.23534"
"25.35000","-0.54938","-21.32353"
"25.40000","-0.55047","-21.34206"
"25.45000","-0.55141","-21.38866"
"25.50000","-0.55250","-21.42563"
"25.55000","-0.55359","-21.46590"
"25.60000","-0.55438","-21.44124"
"25.65000","-0.55547","-21.53359"
"25.70000","-0.55672","-21.55866"
"25.75000","-0.55781","-21.62748"
"25.80000","-0.55891","-21.70345"
"25.85000","-0.56000","-21.73495"
"25.90000","-0.56094","-21.74242"
"25.95000","-0.56219","-21.81403"
"26.00000","-0.56328","-21.83389"
"26.05000","-0.56438","-21.92921"
"26.10000","-0.56547","-21.95031"
"26.15000","-0.56672","-21.98660"
"26.20000","-0.56781","-22.04980"
"26.25000","-0.56891","-22.06800"
"26.30000","-0.57000","-22.12629"
"26.35000","-0.57109","-22.14099"
"26.40000","-0.57219","-22.16688"
"26.45000","-0.57328","-22.25843"
"26.50000","-0.57438","-22.29346"
"26.55000","-0.57531","-22.37459"
"26.60000","-0.57641","-22.39303"
"26.65000","-0.57750","-22.40862"
"26.70000","-0.57859","-22.43971"
"26.75000","-0.57969","-22.46907"
"26.80000","-0.58078","-22.56493"
"26.85000","-0.58188","-22.58400"
"26.90000","-0.58297","-22.59601"
"26.95000","-0.58391","-22.68144"
"27.00000","-0.58500","-22.68233"
"27.05000","-0.58594","-22.74662"
"27.10000","-0.58703","-22.74907"
"27.15000","-0.58813","-22.84919"
"27.20000","-0.58922","-22.85073"
"27.25000","-0.59016","-22.89989"
"27.30000","-0.59125","-22.94634"
"27.35000","-0.59250","-22.99554"
"27.40000","-0.59359","-23.04095"
"27.45000","-0.59469","-23.09569"
"27.50000","-0.59594","-23.14751"
"27.55000","-0.59688","-23.15216"
"27.60000","-0.59797","-23.20422"
"27.65000","-0.59906","-23.24349"
"27.70000","-0.60016","-23.29352"
"27.75000","-0.60141","-23.32037"
"27.80000","-0.60250","-23.37831"
"27.85000","-0.60359","-23.40456"
"27.90000","-0.60469","-23.45911"
"27.95000","-0.60578","-23.50680"
"28.00000","-0.60687","-23.56733"
"28.05000","-0.60781","-23.59689"
"28.10000","-0.60906","-23.61923"
"28.15000","-0.61016","-23.65551"
"28.20000","-0.61125","-23.69211"
"28.25000","-0.61219","-23.74287"
"28.30000","-0.61344","-23.77146"
"28.35000","-0.61437","-23.83050"
"28.40000","-0.61547","-23.85293"
"28.45000","-0.61656","-23.88481"
"28.50000","-0.61766","-23.95262"
"28.55000","-0.61875","-24.00517"
"28.60000","-0.61969","-24.00838"
"28.65000","-0.62078","-24.08151"
"28.70000","-0.62172","-24.13173"
"28.75000","-0.62281","-24.19922"
"28.80000","-0.62391","-24.19447"
"28.85000","-0.62500","-24.23879"
"28.90000","-0.62609","-24.25633"
"28.95000","-0.62719","-24.29566"
"29.00000","-0.62828","-24.35059"
"29.05000","-0.62937","-24.42867"
"29.10000","-0.63047","-24.42859"
"29.15000","-0.63156","-24.51750"
"29.20000","-0.63266","-24.51899"
"29.25000","-0.63375","-24.54331"
"29.30000","-0.63484","-24.59966"
"29.35000","-0.63594","-24.66012"
"29.40000","-0.63703","-24.67444"
"29.45000","-0.63812","-24.74109"
"29.50000","-0.63938","-24.79282"
"29.55000","-0.64047","-24.86982"
"29.60000","-0.64156","-24.85140"
"29.65000","-0.64250","-24.94432"
"29.70000","-0.64359","-24.95701"
"29.75000","-0.64469","-25.00150"
"29.80000","-0.64562","-25.02940"
"29.85000","-0.64688","-25.07871"
"29.90000","-0.64797","-25.13349"
"29.95000","-0.64906","-25.18150"
"30.00000","-0.65016","-25.21912"
"30.05000","-0.65109","-25.29529"
"30.10000","-0.65234","-25.27260"
"30.15000","-0.65344","-25.33910"
"30.20000","-0.65453","-25.39633"
"30.25000","-0.65547","-25.42677"
"30.30000","-0.65656","-25.46316"
"30.35000","-0.65750","-25.51141"
"30.40000","-0.65859","-25.55324"
"30.45000","-0.65969","-25.60405"
"30.50000","-0.66078","-25.65679"
"30.55000","-0.66188","-25.73948"
"30.60000","-0.66297","-25.73706"
"30.65000","-0.66406","-25.79108"
"30.70000","-0.66516","-25.84958"
"30.75000","-0.66609","-25.87527"
"30.80000","-0.66719","-25.91575"
"30.85000","-0.66844","-25.98437"
"30.90000","-0.66953","-25.96466"
"30.95000","-0.67063","-26.05781"
"31.00000","-0.67172","-26.10605"
"31.05000","-0.67281","-26.16917"
"31.10000","-0.67375","-26.18403"
"31.15000","-0.67484","-26.24002"
"31.20000","-0.67594","-26.28383"
"31.25000","-0.67719","-26.33486"
"31.30000","-0.67828","-26.37566"
"31.35000","-0.67938","-26.42868"
"31.40000","-0.68047","-26.47111"
"31.45000","-0.68156","-26.47725"
"31.50000","-0.68266","-26.54519"
"31.55000","-0.68375","-26.59832"
"31.60000","-0.68484","-26.63697"
"31.65000","-0.68594","-26.68799"
"31.70000","-0.68703","-26.72619"
"31.75000","-0.68813","-26.76999"
"31.80000","-0.68906","-26.80151"
"31.85000","-0.69016","-26.84145"
"31.90000","-0.69125","-26.89110"
"31.95000","-0.69219","-26.91890"
"32.00000","-0.69328","-26.98743"
"32.05000","-0.69438","-27.02678"
"32.10000","-0.69531","-27.03584"
"32.15000","-0.69641","-27.07705"
"32.20000","-0.69750","-27.14666"
"32.25000","-0.69875","-27.18877"
"32.30000","-0.69984","-27.18151"
"32.35000","-0.70094","-27.27444"
"32.40000","-0.70188","-27.31279"
"32.45000","-0.70297","-27.38843"
"32.50000","-0.70406","-27.38486"
"32.55000","-0.70516","-27.49180"
"32.60000","-0.70625","-27.48088"
"32.65000","-0.70750","-27.51997"
"32.70000","-0.70844","-27.58602"
"32.75000","-0.70953","-27.62975"
"32.80000","-0.71063","-27.67082"
"32.85000","-0.71172","-27.72301"
"32.90000","-0.71281","-27.69229"
"32.95000","-0.71406","-27.81356"
"33.00000","-0.71516","-27.86839"
"33.05000","-0.71625","-27.90026"
"33.10000","-0.71734","-27.92742"
"33.15000","-0.71844","-27.96832"
"33.20000","-0.71953","-28.03052"
"33.25000","-0.72047","-28.06290"
"33.30000","-0.72172","-28.11895"
"33.35000","-0.72281","-28.13714"
"33.40000","-0.72375","-28.20421"
"33.45000","-0.72484","-28.25368"
"33.50000","-0.72578","-28.28336"
"33.55000","-0.72688","-28.33512"
"33.60000","-0.72797","-28.37464"
"33.65000","-0.72906","-28.39905"
"33.70000","-0.73000","-28.44838"
"33.75000","-0.73109","-28.51109"
"33.80000","-0.73219","-28.52512"
"33.85000","-0.73313","-28.56167"
"33.90000","-0.73438","-28.62138"
"33.95000","-0.73547","-28.66473"
"34.00000","-0.73672","-28.73910"
"34.05000","-0.73781","-28.79321"
"34.10000","-0.73875","-28.80578"
"34.15000","-0.73984","-28.89681"
"34.20000","-0.74094","-28.92086"
"34.25000","-0.74203","-28.94850"
"34.30000","-0.74328","-29.00037"
"34.35000","-0.74437","-29.05687"
"34.40000","-0.74547","-29.10177"
"34.45000","-0.74656","-29.12769"
"34.50000","-0.74766","-29.18109"
"34.55000","-0.74875","-29.26326"
"34.60000","-0.74984","-29.27819"
"34.65000","-0.75094","-29.29094"
"34.70000","-0.75203","-29.37001"
"34.75000","-0.75313","-29.42181"
"34.80000","-0.75422","-29.47018"
"34.85000","-0.75516","-29.46631"
"34.90000","-0.75625","-29.51187"
"34.95000","-0.75734","-29.57599"
"35.00000","-0.75844","-29.60274"
"35.05000","-0.75953","-29.67688"
"35.10000","-0.76063","-29.70375"
"35.15000","-0.76156","-29.73550"
"35.20000","-0.76250","-29.78809"
